nome,matrícula,curso
Lucia,MAT4351,Administração
Gabriel,MAT2608,Ciências da Computação
Lucia,MAT8773,Administração
Julia,MAT4358,Ciências da Computação
Maria,MAT4280,Administração
Carlos,MAT2863,Administração
Maria,MAT6539,Engenharia
Carlos,MAT9789,Administração
Carlos,MAT6987,Economia
Pedro,MAT2846,Engenharia
Lucia,MAT8190,Economia
Rafael,MAT1464,Ciências da Computação
Gabriel,MAT9022,Medicina
Carlos,MAT9338,Economia
Gabriel,MAT9709,Medicina
João,MAT3766,Medicina
Rafael,MAT6844,Medicina
Gabriel,MAT7446,Medicina
Lucia,MAT4757,Medicina
Lucia,MAT9663,Engenharia
Gabriel,MAT8359,Administração
Gabriel,MAT5885,Engenharia
Carlos,MAT7422,Administração
João,MAT6861,Medicina
Julia,MAT4197,Economia
Julia,MAT5879,Ciências da Computação
Carlos,MAT3284,Ciências da Computação
Carlos,MAT4081,Ciências da Computação
Pedro,MAT6308,Medicina
Pedro,MAT7761,Economia
Pedro,MAT4405,Administração
Rafael,MAT2300,Ciências da Computação
Lucia,MAT7815,Engenharia
Carlos,MAT5987,Engenharia
Carlos,MAT8998,Ciências da Computação
Rafael,MAT7512,Economia
João,MAT5689,Administração
Ana,MAT2982,Engenharia
Maria,MAT7309,Engenharia
Gabriel,MAT4569,Ciências da Computação
Carlos,MAT3307,Engenharia
Lucia,MAT1274,Medicina
Rafael,MAT8132,Ciências da Computação
Carlos,MAT2138,Ciências da Computação
Julia,MAT5924,Administração
Lucia,MAT8066,Economia
Rafael,MAT1841,Ciências da Computação
Maria,MAT5564,Economia
Julia,MAT8149,Medicina
Ana,MAT9769,Economia
Ana,MAT9828,Medicina
Fernanda,MAT6472,Administração
Fernanda,MAT1968,Administração
Carlos,MAT5217,Economia
João,MAT1086,Medicina
Fernanda,MAT7946,Economia
Carlos,MAT7464,Engenharia
Maria,MAT5430,Administração
Pedro,MAT3915,Economia
Julia,MAT3627,Economia
Lucia,MAT6811,Medicina
Julia,MAT6699,Engenharia
Carlos,MAT4741,Ciências da Computação
Rafael,MAT8614,Medicina
Rafael,MAT1360,Engenharia
Carlos,MAT7476,Administração
Ana,MAT7782,Engenharia
Rafael,MAT8445,Medicina
Fernanda,MAT8189,Economia
Maria,MAT9263,Administração
Maria,MAT3953,Administração
Maria,MAT7505,Administração
Carlos,MAT9432,Economia
Rafael,MAT2751,Engenharia
Ana,MAT2104,Administração
Gabriel,MAT9798,Economia
Ana,MAT2172,Ciências da Computação
Fernanda,MAT2740,Engenharia
Carlos,MAT7168,Administração
Pedro,MAT1211,Ciências da Computação
Ana,MAT7885,Ciências da Computação
Ana,MAT4222,Ciências da Computação
Lucia,MAT5432,Engenharia
Ana,MAT7852,Administração
Julia,MAT4146,Administração
Ana,MAT4958,Administração
Maria,MAT3149,Economia
Pedro,MAT6054,Medicina
Carlos,MAT2852,Economia
Carlos,MAT6490,Administração
Carlos,MAT7608,Engenharia
Carlos,MAT1813,Medicina
Gabriel,MAT7136,Ciências da Computação
Gabriel,MAT3386,Economia
Rafael,MAT2216,Economia
Fernanda,MAT9242,Ciências da Computação
Rafael,MAT6833,Administração
Rafael,MAT5638,Ciências da Computação
Rafael,MAT9637,Economia
Ana,MAT1230,Ciências da Computação
Ana,MAT8603,Administração
Maria,MAT5570,Administração
Lucia,MAT9075,Medicina
Pedro,MAT3414,Administração
Pedro,MAT1833,Economia
Carlos,MAT8682,Engenharia
Ana,MAT6688,Ciências da Computação
Pedro,MAT7369,Administração
Carlos,MAT6751,Ciências da Computação
Fernanda,MAT9175,Engenharia
Lucia,MAT9448,Medicina
Lucia,MAT7073,Engenharia
Julia,MAT1400,Engenharia
Lucia,MAT2204,Medicina
Julia,MAT4994,Engenharia
Lucia,MAT3585,Medicina
Pedro,MAT3969,Administração
Carlos,MAT9625,Administração
Carlos,MAT2133,Administração
Rafael,MAT1843,Medicina
Ana,MAT3548,Medicina
Fernanda,MAT8468,Administração
Pedro,MAT9815,Engenharia
Carlos,MAT5930,Engenharia
João,MAT1788,Ciências da Computação
Maria,MAT5718,Administração
Carlos,MAT1972,Administração
Lucia,MAT5419,Medicina
Julia,MAT7819,Medicina
Rafael,MAT1868,Administração
Carlos,MAT3114,Administração
Gabriel,MAT9158,Administração
Julia,MAT7550,Ciências da Computação
Fernanda,MAT2272,Medicina
Fernanda,MAT3933,Engenharia
Lucia,MAT6081,Ciências da Computação
Fernanda,MAT8445,Medicina
Pedro,MAT1175,Engenharia
Julia,MAT4049,Engenharia
Pedro,MAT1121,Engenharia
João,MAT2756,Medicina
Julia,MAT8541,Ciências da Computação
Lucia,MAT2856,Economia
Lucia,MAT1469,Medicina
Maria,MAT6286,Ciências da Computação
Pedro,MAT7005,Administração
João,MAT5342,Ciências da Computação
Lucia,MAT9548,Economia
João,MAT4178,Administração
Maria,MAT5040,Engenharia
Carlos,MAT2636,Administração
Ana,MAT3448,Medicina
Fernanda,MAT1822,Medicina
Gabriel,MAT1867,Medicina
João,MAT5130,Ciências da Computação
Fernanda,MAT8981,Administração
Carlos,MAT3683,Administração
Rafael,MAT7345,Administração
Maria,MAT9553,Ciências da Computação
Rafael,MAT4536,Medicina
Gabriel,MAT3640,Medicina
Ana,MAT5158,Economia
Rafael,MAT7906,Administração
João,MAT9774,Economia
Fernanda,MAT7092,Medicina
Lucia,MAT4381,Administração
Carlos,MAT9318,Administração
João,MAT4252,Engenharia
João,MAT6667,Engenharia
Fernanda,MAT7079,Ciências da Computação
Pedro,MAT3865,Medicina
Carlos,MAT2926,Economia
Julia,MAT3817,Ciências da Computação
Gabriel,MAT8862,Engenharia
Pedro,MAT4708,Economia
Carlos,MAT3527,Economia
Maria,MAT8772,Economia
Lucia,MAT7891,Engenharia
Ana,MAT8730,Economia
Gabriel,MAT1082,Engenharia
Carlos,MAT6918,Economia
Rafael,MAT5237,Economia
Lucia,MAT1863,Economia
Fernanda,MAT4704,Medicina
Carlos,MAT4211,Administração
Maria,MAT7524,Ciências da Computação
Gabriel,MAT9606,Administração
Ana,MAT2647,Engenharia
Ana,MAT3866,Ciências da Computação
Ana,MAT3675,Medicina
Gabriel,MAT2433,Economia
Fernanda,MAT3786,Medicina
Fernanda,MAT8305,Economia
João,MAT9673,Engenharia
Fernanda,MAT3467,Economia
Pedro,MAT9244,Ciências da Computação
Maria,MAT2036,Medicina
Rafael,MAT5419,Economia
Pedro,MAT9446,Medicina
Pedro,MAT8550,Engenharia
João,MAT9515,Medicina
Julia,MAT3644,Administração
Pedro,MAT9575,Ciências da Computação
João,MAT3213,Economia
Carlos,MAT6451,Ciências da Computação
Lucia,MAT9956,Administração
Maria,MAT2322,Administração
Gabriel,MAT3442,Medicina
João,MAT6838,Medicina
Maria,MAT6797,Economia
Fernanda,MAT3898,Engenharia
Julia,MAT7425,Engenharia
Ana,MAT4289,Economia
Fernanda,MAT4065,Administração
Julia,MAT6983,Administração
Gabriel,MAT5205,Engenharia
João,MAT7544,Ciências da Computação
Ana,MAT9589,Economia
Fernanda,MAT2418,Medicina
João,MAT3842,Engenharia
Carlos,MAT3544,Medicina
Pedro,MAT6907,Ciências da Computação
Ana,MAT7220,Medicina
Pedro,MAT5252,Economia
Ana,MAT7493,Engenharia
Rafael,MAT6851,Administração
Pedro,MAT9384,Engenharia
Maria,MAT5653,Medicina
Gabriel,MAT2367,Medicina
Gabriel,MAT4739,Economia
Julia,MAT8796,Medicina
Lucia,MAT7798,Ciências da Computação
Rafael,MAT4809,Ciências da Computação
Carlos,MAT3182,Economia
Maria,MAT9317,Economia
Rafael,MAT2594,Engenharia
Carlos,MAT5450,Engenharia
Gabriel,MAT9399,Medicina
Pedro,MAT8699,Engenharia
Julia,MAT5582,Ciências da Computação
Rafael,MAT1229,Ciências da Computação
Lucia,MAT2971,Medicina
Ana,MAT8389,Medicina
Ana,MAT3122,Medicina
Maria,MAT7855,Administração
Gabriel,MAT4610,Ciências da Computação
Maria,MAT1421,Administração
Gabriel,MAT2784,Administração
Maria,MAT2345,Ciências da Computação
Fernanda,MAT9014,Administração
Pedro,MAT6870,Administração
Gabriel,MAT6317,Ciências da Computação
Fernanda,MAT1325,Economia
Gabriel,MAT8622,Ciências da Computação
João,MAT7520,Medicina
Julia,MAT3495,Economia
João,MAT1801,Ciências da Computação
Julia,MAT4186,Economia
Maria,MAT1493,Engenharia
João,MAT3878,Economia
João,MAT3058,Ciências da Computação
Rafael,MAT6013,Administração
Pedro,MAT8591,Ciências da Computação
Lucia,MAT8511,Economia
Gabriel,MAT9268,Engenharia
Julia,MAT1461,Administração
Julia,MAT4246,Medicina
Gabriel,MAT6307,Administração
Julia,MAT3012,Engenharia
João,MAT5275,Ciências da Computação
Rafael,MAT6229,Engenharia
Julia,MAT8933,Medicina
Pedro,MAT3892,Medicina
Gabriel,MAT3408,Ciências da Computação
Maria,MAT6853,Engenharia
Julia,MAT9154,Engenharia
Ana,MAT2690,Medicina
Maria,MAT3317,Medicina
Lucia,MAT2445,Economia
Lucia,MAT5100,Engenharia
Gabriel,MAT4537,Engenharia
Rafael,MAT2756,Economia
Julia,MAT1036,Ciências da Computação
Gabriel,MAT8148,Medicina
Ana,MAT8961,Medicina
Julia,MAT7948,Economia
Fernanda,MAT6521,Ciências da Computação
Carlos,MAT7658,Economia
Rafael,MAT2595,Engenharia
Maria,MAT8955,Engenharia
Ana,MAT1851,Engenharia
Lucia,MAT4694,Engenharia
Pedro,MAT4347,Engenharia
Maria,MAT1363,Economia
Maria,MAT2961,Engenharia
Rafael,MAT4016,Medicina
Gabriel,MAT6792,Administração
Lucia,MAT7035,Medicina
Ana,MAT4917,Engenharia
Maria,MAT3396,Engenharia
Lucia,MAT4459,Engenharia
Rafael,MAT1499,Ciências da Computação
Julia,MAT5286,Administração
Pedro,MAT1383,Ciências da Computação
Pedro,MAT3889,Administração
Lucia,MAT3848,Ciências da Computação
Ana,MAT1905,Administração
Ana,MAT4106,Administração
Fernanda,MAT5786,Medicina
Lucia,MAT6568,Ciências da Computação
Rafael,MAT9082,Engenharia
Rafael,MAT3847,Medicina
Maria,MAT7401,Administração
Gabriel,MAT4830,Medicina
Fernanda,MAT9584,Engenharia
Fernanda,MAT2849,Ciências da Computação
Maria,MAT2891,Economia
João,MAT7031,Ciências da Computação
Maria,MAT3561,Economia
Rafael,MAT8706,Economia
Rafael,MAT9996,Administração
Lucia,MAT8543,Economia
Maria,MAT9842,Administração
Rafael,MAT1023,Engenharia
Rafael,MAT7916,Ciências da Computação
Maria,MAT9759,Engenharia
João,MAT4374,Administração
Fernanda,MAT5596,Administração
Lucia,MAT7318,Administração
Julia,MAT3387,Medicina
Lucia,MAT8726,Economia
Ana,MAT4104,Ciências da Computação
Carlos,MAT3909,Ciências da Computação
João,MAT5146,Administração
Maria,MAT2558,Medicina
Carlos,MAT6124,Engenharia
João,MAT8414,Economia
Maria,MAT5795,Medicina
Ana,MAT8002,Ciências da Computação
Carlos,MAT2355,Administração
Fernanda,MAT4033,Administração
Julia,MAT7260,Economia
Fernanda,MAT3331,Economia
Maria,MAT2978,Economia
Fernanda,MAT7056,Ciências da Computação
Lucia,MAT6610,Engenharia
Julia,MAT3154,Economia
Gabriel,MAT6655,Economia
Julia,MAT7979,Engenharia
Gabriel,MAT6075,Engenharia
João,MAT6013,Medicina
Rafael,MAT9079,Ciências da Computação
Maria,MAT9766,Engenharia
Pedro,MAT2886,Engenharia
Maria,MAT7030,Medicina
Ana,MAT7196,Administração
Fernanda,MAT2264,Medicina
Maria,MAT6815,Engenharia
Lucia,MAT9418,Engenharia
Carlos,MAT5851,Administração
Pedro,MAT7588,Ciências da Computação
João,MAT7507,Engenharia
Julia,MAT2406,Medicina
Fernanda,MAT8011,Economia
Rafael,MAT9808,Ciências da Computação
João,MAT2108,Administração
Ana,MAT4600,Medicina
Carlos,MAT1584,Engenharia
Maria,MAT3433,Economia
Rafael,MAT1869,Economia
Rafael,MAT1455,Economia
Julia,MAT5748,Ciências da Computação
Ana,MAT9397,Engenharia
Maria,MAT3559,Economia
Gabriel,MAT7009,Ciências da Computação
João,MAT4812,Administração
Gabriel,MAT4715,Economia
Lucia,MAT8173,Engenharia
Lucia,MAT8818,Medicina
Ana,MAT7905,Administração
Carlos,MAT9122,Economia
Pedro,MAT8365,Administração
João,MAT3190,Engenharia
João,MAT4571,Engenharia
Julia,MAT2403,Engenharia
Lucia,MAT2856,Engenharia
João,MAT4096,Administração
Carlos,MAT9240,Administração
Ana,MAT5585,Administração
Lucia,MAT4659,Ciências da Computação
Ana,MAT2489,Medicina
João,MAT3947,Ciências da Computação
Pedro,MAT4319,Ciências da Computação
Pedro,MAT6058,Ciências da Computação
Maria,MAT5583,Administração
Pedro,MAT5683,Ciências da Computação
Gabriel,MAT4467,Economia
Pedro,MAT1100,Medicina
Gabriel,MAT5743,Engenharia
Carlos,MAT7715,Engenharia
João,MAT7450,Economia
Gabriel,MAT6046,Engenharia
Pedro,MAT8792,Administração
João,MAT8440,Medicina
Pedro,MAT1269,Economia
Maria,MAT8449,Engenharia
Julia,MAT4694,Economia
Carlos,MAT1556,Ciências da Computação
Rafael,MAT8472,Economia
João,MAT8932,Administração
Carlos,MAT7977,Ciências da Computação
Fernanda,MAT7486,Medicina
João,MAT6017,Engenharia
Lucia,MAT9254,Economia
Carlos,MAT3546,Engenharia
Rafael,MAT8342,Administração
Pedro,MAT7882,Economia
Gabriel,MAT5299,Economia
Carlos,MAT2390,Engenharia
Lucia,MAT4470,Engenharia
Julia,MAT8476,Ciências da Computação
Ana,MAT7375,Economia
Pedro,MAT9090,Medicina
Lucia,MAT4190,Administração
Rafael,MAT1356,Medicina
Fernanda,MAT2925,Ciências da Computação
Maria,MAT1018,Administração
Maria,MAT7536,Engenharia
Lucia,MAT8478,Economia
Maria,MAT9374,Engenharia
Julia,MAT6067,Engenharia
Pedro,MAT8654,Economia
Gabriel,MAT8851,Ciências da Computação
Fernanda,MAT6953,Engenharia
Pedro,MAT2716,Engenharia
Ana,MAT4581,Economia
Fernanda,MAT6116,Medicina
Gabriel,MAT5485,Economia
Gabriel,MAT6886,Ciências da Computação
Gabriel,MAT5118,Medicina
Rafael,MAT3695,Ciências da Computação
Carlos,MAT1106,Economia
Lucia,MAT1601,Ciências da Computação
Carlos,MAT4105,Administração
Lucia,MAT9452,Economia
Rafael,MAT5044,Ciências da Computação
Ana,MAT7839,Medicina
Ana,MAT1129,Engenharia
Maria,MAT6780,Economia
Rafael,MAT4580,Engenharia
Lucia,MAT9034,Economia
Julia,MAT9357,Ciências da Computação
Lucia,MAT4916,Administração
Fernanda,MAT1737,Medicina
Carlos,MAT6989,Engenharia
Carlos,MAT5880,Economia
João,MAT5312,Engenharia
Rafael,MAT1231,Economia
Lucia,MAT9372,Ciências da Computação
Carlos,MAT5582,Engenharia
Fernanda,MAT7559,Engenharia
Fernanda,MAT2243,Administração
Julia,MAT6658,Ciências da Computação
Maria,MAT4674,Economia
Carlos,MAT2383,Ciências da Computação
Ana,MAT5661,Economia
Rafael,MAT2534,Administração
Pedro,MAT3429,Engenharia
Fernanda,MAT6966,Administração
Lucia,MAT3092,Medicina
Gabriel,MAT7336,Economia
Rafael,MAT5975,Engenharia
Pedro,MAT5217,Engenharia
Maria,MAT3153,Ciências da Computação
Gabriel,MAT3675,Engenharia
João,MAT9030,Engenharia
Lucia,MAT2136,Engenharia
Julia,MAT8640,Administração
Fernanda,MAT9530,Administração
Rafael,MAT9179,Ciências da Computação
Ana,MAT9214,Medicina
Pedro,MAT9107,Ciências da Computação
Maria,MAT6774,Medicina
Ana,MAT6203,Engenharia
Fernanda,MAT4254,Ciências da Computação
Julia,MAT3136,Medicina
Lucia,MAT8383,Ciências da Computação
Rafael,MAT3474,Engenharia
João,MAT4176,Administração
Ana,MAT1813,Engenharia
Rafael,MAT3356,Ciências da Computação
Rafael,MAT6454,Engenharia
Pedro,MAT7556,Administração
Rafael,MAT8390,Engenharia
Carlos,MAT2008,Administração
Pedro,MAT7757,Economia
Pedro,MAT7997,Ciências da Computação
Fernanda,MAT5821,Administração
Fernanda,MAT3740,Administração
Maria,MAT8878,Medicina
Rafael,MAT5250,Economia
Rafael,MAT3624,Ciências da Computação
Maria,MAT8533,Administração
Pedro,MAT3765,Economia
Fernanda,MAT5165,Ciências da Computação
Fernanda,MAT4674,Ciências da Computação
Gabriel,MAT5569,Economia
Maria,MAT7340,Medicina
Lucia,MAT9237,Economia
João,MAT3189,Engenharia
Pedro,MAT1319,Ciências da Computação
Fernanda,MAT2484,Administração
Carlos,MAT5040,Economia
João,MAT7564,Economia
Pedro,MAT5069,Ciências da Computação
Carlos,MAT4039,Administração
João,MAT8782,Administração
Lucia,MAT5256,Ciências da Computação
Maria,MAT9769,Medicina
Pedro,MAT7015,Administração
Rafael,MAT2676,Economia
Gabriel,MAT5148,Administração
Julia,MAT3871,Ciências da Computação
Carlos,MAT5508,Administração
João,MAT8590,Medicina
Gabriel,MAT9970,Economia
Maria,MAT6265,Administração
João,MAT6135,Medicina
Lucia,MAT4294,Ciências da Computação
Lucia,MAT6304,Administração
Ana,MAT5947,Ciências da Computação
Rafael,MAT9955,Administração
Rafael,MAT6643,Engenharia
Julia,MAT7824,Administração
Gabriel,MAT1154,Economia
Gabriel,MAT2405,Administração
Pedro,MAT5932,Engenharia
Lucia,MAT7965,Ciências da Computação
Rafael,MAT5288,Administração
Maria,MAT8102,Engenharia
Ana,MAT2988,Administração
João,MAT3149,Administração
Julia,MAT3831,Engenharia
João,MAT3655,Engenharia
Fernanda,MAT4847,Medicina
Gabriel,MAT6512,Medicina
Rafael,MAT2824,Medicina
Pedro,MAT7415,Administração
Lucia,MAT1165,Ciências da Computação
Lucia,MAT7261,Ciências da Computação
Lucia,MAT4280,Ciências da Computação
Fernanda,MAT4928,Administração
João,MAT8325,Economia
Fernanda,MAT5858,Medicina
Lucia,MAT3604,Economia
Ana,MAT9356,Economia
Rafael,MAT3174,Economia
Lucia,MAT2436,Ciências da Computação
Pedro,MAT1605,Ciências da Computação
João,MAT7774,Medicina
Lucia,MAT3981,Economia
Gabriel,MAT4201,Administração
Fernanda,MAT9977,Engenharia
Gabriel,MAT9729,Ciências da Computação
Carlos,MAT5169,Medicina
Pedro,MAT4490,Engenharia
Fernanda,MAT7966,Administração
Pedro,MAT5692,Administração
Carlos,MAT3658,Economia
Gabriel,MAT3307,Engenharia
Julia,MAT8047,Ciências da Computação
Lucia,MAT5557,Ciências da Computação
Carlos,MAT9454,Economia
Lucia,MAT3863,Economia
Rafael,MAT1129,Medicina
Lucia,MAT4028,Engenharia
Pedro,MAT2340,Medicina
Maria,MAT7835,Economia
Maria,MAT8266,Economia
Lucia,MAT4122,Medicina
Pedro,MAT8737,Engenharia
Maria,MAT6413,Economia
Maria,MAT6319,Engenharia
Pedro,MAT9140,Ciências da Computação
Julia,MAT9762,Engenharia
Rafael,MAT9977,Engenharia
Gabriel,MAT7803,Economia
Julia,MAT6086,Medicina
Carlos,MAT9169,Medicina
Ana,MAT7025,Administração
João,MAT7043,Engenharia
Maria,MAT4759,Administração
Lucia,MAT1441,Administração
Fernanda,MAT7479,Ciências da Computação
Julia,MAT9476,Economia
Lucia,MAT4622,Ciências da Computação
Lucia,MAT4738,Medicina
Maria,MAT7531,Medicina
Pedro,MAT4228,Engenharia
Julia,MAT8064,Administração
Julia,MAT8814,Engenharia
Pedro,MAT9905,Medicina
João,MAT9726,Economia
Rafael,MAT9822,Economia
Gabriel,MAT5080,Administração
Maria,MAT3121,Administração
João,MAT8346,Medicina
Maria,MAT4202,Ciências da Computação
Ana,MAT6806,Medicina
Pedro,MAT9777,Administração
Carlos,MAT7500,Engenharia
Gabriel,MAT6107,Economia
Rafael,MAT1307,Medicina
Carlos,MAT9307,Economia
Pedro,MAT4106,Administração
Carlos,MAT3675,Medicina
Lucia,MAT4861,Medicina
Pedro,MAT9001,Administração
Rafael,MAT7714,Economia
Julia,MAT9933,Medicina
Pedro,MAT1678,Ciências da Computação
Pedro,MAT6892,Administração
Julia,MAT5116,Economia
Lucia,MAT4762,Medicina
Ana,MAT6853,Medicina
Carlos,MAT6875,Ciências da Computação
Rafael,MAT4496,Economia
Julia,MAT8836,Economia
Carlos,MAT9589,Ciências da Computação
Gabriel,MAT2273,Engenharia
Ana,MAT6963,Economia
Carlos,MAT6779,Economia
Maria,MAT6193,Medicina
Gabriel,MAT9190,Administração
Fernanda,MAT2896,Administração
Ana,MAT7108,Economia
Pedro,MAT6100,Engenharia
Carlos,MAT8114,Economia
Lucia,MAT3014,Economia
Rafael,MAT9215,Ciências da Computação
Gabriel,MAT8373,Ciências da Computação
Julia,MAT7239,Medicina
Lucia,MAT4943,Ciências da Computação
Lucia,MAT2916,Medicina
Pedro,MAT7283,Ciências da Computação
Rafael,MAT1973,Ciências da Computação
Ana,MAT2293,Engenharia
Pedro,MAT6527,Administração
Julia,MAT3069,Ciências da Computação
Maria,MAT5070,Ciências da Computação
Fernanda,MAT9734,Ciências da Computação
Rafael,MAT6636,Ciências da Computação
Julia,MAT5872,Medicina
Fernanda,MAT2561,Ciências da Computação
Pedro,MAT8386,Ciências da Computação
Lucia,MAT5703,Medicina
Fernanda,MAT3053,Ciências da Computação
Gabriel,MAT1735,Ciências da Computação
Carlos,MAT8655,Economia
Maria,MAT8595,Medicina
Maria,MAT8513,Economia
Carlos,MAT8354,Economia
Pedro,MAT2302,Administração
Lucia,MAT1001,Ciências da Computação
Ana,MAT3784,Economia
Rafael,MAT9171,Engenharia
Ana,MAT4085,Medicina
Gabriel,MAT2340,Ciências da Computação
Lucia,MAT7971,Administração
Gabriel,MAT5018,Administração
Pedro,MAT2676,Ciências da Computação
Rafael,MAT8999,Economia
Fernanda,MAT3354,Ciências da Computação
João,MAT9934,Ciências da Computação
Rafael,MAT6694,Economia
Ana,MAT8542,Economia
Maria,MAT1967,Engenharia
Pedro,MAT6929,Engenharia
Carlos,MAT7956,Engenharia
Gabriel,MAT4423,Ciências da Computação
Gabriel,MAT8054,Administração
Pedro,MAT5244,Ciências da Computação
Pedro,MAT8863,Administração
Gabriel,MAT1428,Ciências da Computação
Rafael,MAT6107,Engenharia
Ana,MAT3158,Ciências da Computação
Carlos,MAT4963,Economia
Ana,MAT4431,Engenharia
Rafael,MAT3182,Engenharia
Lucia,MAT1208,Engenharia
Gabriel,MAT8989,Medicina
Rafael,MAT6882,Ciências da Computação
Carlos,MAT6743,Administração
Gabriel,MAT6507,Medicina
Maria,MAT3583,Medicina
Fernanda,MAT6969,Administração
Ana,MAT9148,Ciências da Computação
Pedro,MAT5987,Administração
Gabriel,MAT9421,Administração
Fernanda,MAT8371,Engenharia
Rafael,MAT9231,Administração
João,MAT5770,Administração
Julia,MAT1645,Economia
Rafael,MAT5574,Medicina
Julia,MAT5929,Engenharia
João,MAT4787,Administração
Lucia,MAT6814,Economia
Ana,MAT6429,Administração
Ana,MAT6763,Ciências da Computação
Lucia,MAT3227,Ciências da Computação
Gabriel,MAT9573,Ciências da Computação
Ana,MAT9917,Engenharia
Pedro,MAT5689,Ciências da Computação
Carlos,MAT2167,Engenharia
Lucia,MAT2747,Administração
Julia,MAT5833,Economia
Pedro,MAT4687,Engenharia
Carlos,MAT3002,Medicina
Ana,MAT4191,Engenharia
Rafael,MAT8695,Ciências da Computação
João,MAT9144,Medicina
Maria,MAT3626,Medicina
Carlos,MAT9862,Ciências da Computação
Gabriel,MAT4829,Engenharia
Julia,MAT8737,Ciências da Computação
Ana,MAT6177,Ciências da Computação
João,MAT3856,Ciências da Computação
Gabriel,MAT1366,Engenharia
Pedro,MAT1363,Economia
Ana,MAT1276,Engenharia
Lucia,MAT1456,Engenharia
Maria,MAT2094,Engenharia
Rafael,MAT9101,Ciências da Computação
Fernanda,MAT7952,Economia
Gabriel,MAT7938,Ciências da Computação
Pedro,MAT4294,Administração
Gabriel,MAT1898,Economia
Maria,MAT6418,Medicina
Lucia,MAT7561,Medicina
Fernanda,MAT6799,Administração
Pedro,MAT8151,Ciências da Computação
Rafael,MAT5000,Medicina
Rafael,MAT5704,Engenharia
Pedro,MAT2748,Economia
Lucia,MAT1939,Medicina
João,MAT3666,Administração
Julia,MAT1887,Engenharia
Gabriel,MAT3935,Engenharia
Maria,MAT2675,Administração
Ana,MAT8656,Engenharia
Maria,MAT7150,Medicina
Julia,MAT5474,Ciências da Computação
Rafael,MAT8539,Ciências da Computação
João,MAT6762,Ciências da Computação
Fernanda,MAT4285,Administração
Rafael,MAT9430,Medicina
Fernanda,MAT8648,Medicina
Gabriel,MAT9249,Administração
Pedro,MAT1273,Medicina
Pedro,MAT3365,Engenharia
Carlos,MAT7675,Ciências da Computação
Gabriel,MAT4957,Administração
Gabriel,MAT5994,Medicina
João,MAT4767,Medicina
Lucia,MAT4117,Ciências da Computação
Gabriel,MAT3717,Economia
Pedro,MAT9145,Economia
João,MAT6521,Engenharia
Gabriel,MAT3974,Administração
Lucia,MAT6496,Ciências da Computação
Rafael,MAT9823,Medicina
Carlos,MAT3322,Medicina
Julia,MAT6502,Economia
Julia,MAT9673,Economia
Carlos,MAT6036,Ciências da Computação
Pedro,MAT6882,Engenharia
Gabriel,MAT1562,Engenharia
Carlos,MAT5158,Engenharia
Maria,MAT7697,Ciências da Computação
Julia,MAT6854,Economia
Lucia,MAT9482,Administração
João,MAT4570,Economia
Gabriel,MAT2486,Administração
Pedro,MAT7842,Engenharia
Rafael,MAT1336,Administração
Ana,MAT1608,Medicina
Pedro,MAT2188,Administração
Pedro,MAT9612,Ciências da Computação
Julia,MAT7469,Engenharia
Ana,MAT8389,Ciências da Computação
João,MAT6786,Ciências da Computação
Gabriel,MAT4067,Administração
Ana,MAT9465,Ciências da Computação
Carlos,MAT9476,Medicina
Maria,MAT4851,Ciências da Computação
Fernanda,MAT2249,Ciências da Computação
Fernanda,MAT8844,Medicina
Rafael,MAT6501,Economia
Carlos,MAT5581,Medicina
Rafael,MAT8207,Economia
Gabriel,MAT5883,Engenharia
Lucia,MAT3999,Administração
Fernanda,MAT6394,Engenharia
Ana,MAT9252,Medicina
Julia,MAT9039,Ciências da Computação
Gabriel,MAT8715,Administração
Maria,MAT4092,Administração
Julia,MAT8312,Medicina
Lucia,MAT8836,Administração
Pedro,MAT1972,Medicina
Pedro,MAT2127,Engenharia
Julia,MAT5786,Administração
Gabriel,MAT9443,Medicina
Ana,MAT8891,Medicina
Gabriel,MAT2323,Engenharia
Julia,MAT7035,Medicina
João,MAT3515,Economia
Ana,MAT9427,Medicina
Lucia,MAT5776,Economia
João,MAT9236,Administração
Maria,MAT3726,Engenharia
Lucia,MAT9737,Medicina
Maria,MAT5850,Economia
Pedro,MAT2417,Ciências da Computação
Julia,MAT6115,Engenharia
Pedro,MAT5068,Engenharia
Lucia,MAT9267,Medicina
Lucia,MAT9220,Medicina
Lucia,MAT4718,Ciências da Computação
João,MAT3382,Ciências da Computação
Lucia,MAT6250,Economia
Lucia,MAT1673,Administração
Maria,MAT5047,Ciências da Computação
Pedro,MAT6424,Ciências da Computação
Gabriel,MAT3140,Engenharia
Carlos,MAT6233,Medicina
Gabriel,MAT6204,Engenharia
Pedro,MAT9056,Administração
Rafael,MAT5973,Economia
Julia,MAT6244,Medicina
Lucia,MAT1940,Administração
Carlos,MAT9142,Medicina
Maria,MAT6068,Economia
Maria,MAT2897,Economia
Pedro,MAT8008,Ciências da Computação
Ana,MAT6209,Medicina
Julia,MAT5371,Engenharia
Rafael,MAT2048,Engenharia
Gabriel,MAT2937,Medicina
João,MAT8346,Economia
João,MAT7300,Ciências da Computação
Julia,MAT2466,Economia
Fernanda,MAT4445,Economia
Carlos,MAT6897,Engenharia
Ana,MAT5802,Medicina
Rafael,MAT7181,Economia
Pedro,MAT5275,Economia
